CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
010405,4452,38,146,1914,2354,0,0.8535489667565139,3.279424977538185,42.99191374663073,0,52.87511230907457,4268,95.8670260557053,184,4.132973944294704,2001,CHUQUISACA,TOMINA,EL VILLAR
010405,4276,316,655,2492,790,23,7.390084,15.318054,58.278765,0.537886,18.47521,3305,77.29186155285313,971,22.708138447146865,2012,CHUQUISACA,TOMINA,EL VILLAR
010501,25527,1881,4643,9177,9808,18,7.368668468680221,18.188584635875742,35.9501704078035,0.07051357386296862,38.42206291377757,19003,74.44274689544403,6524,25.55725310455597,2001,CHUQUISACA,HERNANDO SILES,MONTEAGUDO
010501,23104,2993,7077,9957,2977,100,12.954467,30.63106,43.096434,0.432825,12.885215,13034,56.41447368421053,10070,43.58552631578947,2012,CHUQUISACA,HERNANDO SILES,MONTEAGUDO
010502,9666,208,851,2985,5622,0,2.1518725429339955,8.804055452100144,30.881440099317192,0,58.16263190564867,8607,89.04407200496586,1059,10.955927995034145,2001,CHUQUISACA,HERNANDO SILES,HUACARETA
010502,7925,557,1371,4415,1554,28,7.028391,17.299685,55.709779,0.353312,19.608833,5997,75.67192429022083,1928,24.328075709779178,2012,CHUQUISACA,HERNANDO SILES,HUACARETA
010601,19339,128,1090,6256,11810,55,0.6618749676818864,5.636279021666064,32.3491390454522,0.2843994001758105,61.06830756502405,18121,93.70184601065205,1218,6.298153989347952,2001,CHUQUISACA,YAMPARAEZ,TARABUCO
010601,16502,629,2402,9274,4054,143,3.811659,14.555811,56.199249,0.866562,24.566719,13471,81.63252939037693,3031,18.367470609623076,2012,CHUQUISACA,YAMPARAEZ,TARABUCO
010602,9781,401,1881,5636,1807,56,4.099785,19.231162,57.62192,0.572539,18.474594,7499,76.66905224414681,2282,23.330947755853185,2012,CHUQUISACA,YAMPARAEZ,YAMPARAEZ
010602,9898,45,633,6451,2763,6,0.4546373004647403,6.395231359870681,65.17478278440089,0.06061830672863205,27.914730248535058,9220,93.15013133966458,678,6.849868660335417,2001,CHUQUISACA,YAMPARAEZ,YAMPARAEZ
